img_path,label
data/raw/brain-tumor-mri-scans/meningioma/0289.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/0841.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/1258.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/1600.jpg,meningioma
data/raw/brain-tumor-mri-scans/pituitary/1629.jpg,pituitary
data/raw/brain-tumor-mri-scans/pituitary/0186.jpg,pituitary
data/raw/brain-tumor-mri-scans/healthy/0552.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/0855.jpg,healthy
data/raw/brain-tumor-mri-scans/glioma/1566.jpg,glioma
data/raw/brain-tumor-mri-scans/glioma/1608.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/1059.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/0575.jpg,pituitary
data/raw/brain-tumor-mri-scans/glioma/1197.jpg,glioma
data/raw/brain-tumor-mri-scans/meningioma/1548.jpg,meningioma
data/raw/brain-tumor-mri-scans/glioma/1074.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/1801.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/0396.jpg,pituitary
data/raw/brain-tumor-mri-scans/healthy/1871.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/0361.jpg,meningioma
data/raw/brain-tumor-mri-scans/pituitary/1243.jpg,pituitary
data/raw/brain-tumor-mri-scans/meningioma/0312.jpg,meningioma
data/raw/brain-tumor-mri-scans/glioma/0239.jpg,glioma
data/raw/brain-tumor-mri-scans/pituitary/1580.jpg,pituitary
data/raw/brain-tumor-mri-scans/glioma/1215.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/0781.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/1744.jpg,pituitary
data/raw/brain-tumor-mri-scans/meningioma/0144.jpg,meningioma
data/raw/brain-tumor-mri-scans/pituitary/0450.jpg,pituitary
data/raw/brain-tumor-mri-scans/pituitary/1635.jpg,pituitary
data/raw/brain-tumor-mri-scans/pituitary/0741.jpg,pituitary
data/raw/brain-tumor-mri-scans/healthy/1585.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/1101.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/1479.jpg,pituitary
data/raw/brain-tumor-mri-scans/pituitary/0412.jpg,pituitary
data/raw/brain-tumor-mri-scans/pituitary/1459.jpg,pituitary
data/raw/brain-tumor-mri-scans/glioma/0177.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/0182.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/0508.jpg,meningioma
data/raw/brain-tumor-mri-scans/glioma/1438.jpg,glioma
data/raw/brain-tumor-mri-scans/glioma/1372.jpg,glioma
data/raw/brain-tumor-mri-scans/meningioma/0225.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/0896.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/1991.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/0999.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/0836.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/1368.jpg,meningioma
data/raw/brain-tumor-mri-scans/meningioma/0752.jpg,meningioma
data/raw/brain-tumor-mri-scans/glioma/0245.jpg,glioma
data/raw/brain-tumor-mri-scans/glioma/0865.jpg,glioma
data/raw/brain-tumor-mri-scans/pituitary/0469.jpg,pituitary
data/raw/brain-tumor-mri-scans/glioma/0469.jpg,glioma
data/raw/brain-tumor-mri-scans/glioma/0101.jpg,glioma
data/raw/brain-tumor-mri-scans/pituitary/0308.jpg,pituitary
data/raw/brain-tumor-mri-scans/meningioma/0506.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/0927.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/0291.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/0980.jpg,meningioma
data/raw/brain-tumor-mri-scans/glioma/0217.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/0654.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/0425.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/0123.jpg,healthy
data/raw/brain-tumor-mri-scans/glioma/0800.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/0528.jpg,healthy
data/raw/brain-tumor-mri-scans/glioma/0037.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/1846.jpg,healthy
data/raw/brain-tumor-mri-scans/glioma/0842.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/1442.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/0036.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/1783.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/1218.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/0403.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/1423.jpg,healthy
data/raw/brain-tumor-mri-scans/glioma/1317.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/0576.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/1354.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/0850.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/0905.jpg,pituitary
data/raw/brain-tumor-mri-scans/glioma/0233.jpg,glioma
data/raw/brain-tumor-mri-scans/pituitary/0735.jpg,pituitary
data/raw/brain-tumor-mri-scans/meningioma/0996.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/0534.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/0648.jpg,pituitary
data/raw/brain-tumor-mri-scans/healthy/0771.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/1677.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/1066.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/0772.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/0543.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/0198.jpg,pituitary
data/raw/brain-tumor-mri-scans/pituitary/1283.jpg,pituitary
data/raw/brain-tumor-mri-scans/healthy/1593.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/0942.jpg,pituitary
data/raw/brain-tumor-mri-scans/healthy/0424.jpg,healthy
data/raw/brain-tumor-mri-scans/glioma/0050.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/0563.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/1656.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/1278.jpg,meningioma
data/raw/brain-tumor-mri-scans/glioma/1047.jpg,glioma
data/raw/brain-tumor-mri-scans/pituitary/1268.jpg,pituitary
data/raw/brain-tumor-mri-scans/glioma/1242.jpg,glioma
data/raw/brain-tumor-mri-scans/glioma/0734.jpg,glioma
data/raw/brain-tumor-mri-scans/pituitary/0997.jpg,pituitary
data/raw/brain-tumor-mri-scans/glioma/0833.jpg,glioma
data/raw/brain-tumor-mri-scans/meningioma/1417.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/1278.jpg,healthy
data/raw/brain-tumor-mri-scans/glioma/1221.jpg,glioma
data/raw/brain-tumor-mri-scans/glioma/0132.jpg,glioma
data/raw/brain-tumor-mri-scans/glioma/0429.jpg,glioma
data/raw/brain-tumor-mri-scans/meningioma/1226.jpg,meningioma
data/raw/brain-tumor-mri-scans/meningioma/1625.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/1397.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/1375.jpg,pituitary
data/raw/brain-tumor-mri-scans/pituitary/1547.jpg,pituitary
data/raw/brain-tumor-mri-scans/glioma/1084.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/1379.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/0561.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/1791.jpg,healthy
data/raw/brain-tumor-mri-scans/healthy/0456.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/0983.jpg,meningioma
data/raw/brain-tumor-mri-scans/pituitary/1393.jpg,pituitary
data/raw/brain-tumor-mri-scans/meningioma/0111.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/1456.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/0686.jpg,pituitary
data/raw/brain-tumor-mri-scans/glioma/0319.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/1269.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/1517.jpg,meningioma
data/raw/brain-tumor-mri-scans/glioma/0927.jpg,glioma
data/raw/brain-tumor-mri-scans/pituitary/0006.jpg,pituitary
data/raw/brain-tumor-mri-scans/meningioma/1216.jpg,meningioma
data/raw/brain-tumor-mri-scans/glioma/0756.jpg,glioma
data/raw/brain-tumor-mri-scans/pituitary/0968.jpg,pituitary
data/raw/brain-tumor-mri-scans/meningioma/0631.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/1395.jpg,healthy
data/raw/brain-tumor-mri-scans/pituitary/1278.jpg,pituitary
data/raw/brain-tumor-mri-scans/pituitary/0438.jpg,pituitary
data/raw/brain-tumor-mri-scans/glioma/0393.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/0357.jpg,healthy
data/raw/brain-tumor-mri-scans/meningioma/1304.jpg,meningioma
data/raw/brain-tumor-mri-scans/healthy/1125.jpg,healthy
data/raw/brain-tumor-mri-scans/glioma/0457.jpg,glioma
data/raw/brain-tumor-mri-scans/healthy/1199.jpg,healthy
data/raw/brain-tumor-mri-scans/glioma/1512.jpg,glioma
